"asin","brand","price","monthly_sold","rating","reviews","offers","weight_g","len_mm","wid_mm","hei_mm","fba_us_cents","cat2","title"
"B0GK8RRSTP","Ivydale",24.99,500,4.2,130,1,322,382,97,89,561,"Artificial Plants & Flowers","Ivydale Artificial Flowers for Outdoors, 4 PCS Purple Fuchsia Fake Silk Hydrangea Flower Stems for Bouquets UV Resistant Realistic Faux Plants Home Outdoor Wedding Party Centerpieces Decor"
"B0GKDM7RDV","ALOXA",18.49,400,4.8,128,1,408,393,125,97,613,"Artificial Plants & Flowers","ALOXA 12 Bundles Artificial Flowers for Outdoors,UV Resistant Fake Silk Morning Glory Flowers Faux Plastic Plants for Planter Front Door Window Box Patio Yard Porch Indoor Home Decor (Yellow,White)"
"B0GKHSDTMZ","Hananona",17.99,4000,4.2,3208,1,540,440,110,99,613,"Artificial Plants & Flowers","Hananona 12 Pcs Artificial Flowers Outdoor, Faux Artificial Plants UV Resistant Plastic Patriotic Flower Bulk for 4th of July Hanging Planter Porch Window Home Summer Decor 12, Red, White, Blue"
"B0GKHW6GY1","Hananona",34.99,1000,4.2,3208,1,1039,438,206,129,773,"Artificial Plants & Flowers","Hananona 24 Pcs Artificial Flowers Outdoor, Faux Artificial Plants UV Resistant Plastic Patriotic Flower Bulk for 4th of July Hanging Planter Porch Window Home Summer Decor (24, Red, White, Blue)"
"B0GKM9WQVX","NOVAROOT",55.99,1000,4.2,94,1,3651,451,222,203,924,"Artificial Plants & Flowers","Olive Trees Artificial Indoor, 6FT Tall Faux Olive Tree with Moss and Planter, Artificial Plants Indoor with Realistic Silk Leaves and Lifelike Fruits, Fake Tree for Home Office Living Room Decor"
"B0GM865GDK","LarkAsh",26.98,500,4.5,19,1,712,432,122,98,631,"Artificial Plants & Flowers","LarkAsh 150 Pcs Babys Breath Artificial Flowers,White Baby Breath Flowers Artificial Bulk，Real Touch Faux Flowers Gypsophila for Wedding Party Bouquet Floral Arrangement Home Decor (150)"
"B0GS4G2GBR","Juxdp",29.99,1000,4.6000000000000005,74,1,259,439,114,103,618,"Artificial Plants & Flowers","Juxdp 6 Pcs 17"" Artificial Nandina Berry Stem, Faux Berry Spray(Dusty Plum)"
"B0GS4G6YPT","Juxdp",49.99,400,4.6000000000000005,74,1,481,437,199,112,748,"Artificial Plants & Flowers","12 Pcs 17"" Artificial Nandina Berry Stem, Faux Berry Spray(Dusty Plum)"
"B0GS4GDFNF","Juxdp",29.99,600,4.6000000000000005,57,1,499,438,165,101,707,"Artificial Plants & Flowers","4 Pcs 36"" Artificial Nandina Berry Stem, Fake Plant Branches(Dusty Plum)"
"B0GS5B8Q9Y","Ammyoo",23.99,500,4.4,429,1,472,366,178,126,746,"Artificial Plants & Flowers","Ammyoo 8 Pcs Artificial Hydrangea Flowers Silk Blue Fake Flower with Eucalyptus for Outdoor Decorations UV Resistant Realistic Faux Plants for Garden Porch Window Box Indoor Table Decor"
