"asin","brand","price","monthly_sold","rating","reviews","offers","weight_g","len_mm","wid_mm","hei_mm","fba_us_cents","cat2","title"
"B0GHNKMH4H","BYSNOW",20.99,4000,4.699999999999999,209,1,1878,361,324,134,854,"Kitchen & Dining","BYSNOW 60 Sets Deli Containers with Lids, 32/16/8 oz X 20 Set Each, Leak-Proof & BPA Free Airtight Stackable Takeout Plastic Food Storage Containers, Freezer/Microwave/Dishwasher Safe"
"B0GHPVN5DD","VOSSER",69.99,5000,4.4,4915,1,8819,426,326,189,1272,"Bedding","VOSSER Queen Air Mattress with Built-in Pump,18'' Raised Blow Up Mattress, Leak-Proof Air Bed with Storage Bag, Flocked Top Inflatable Mattress for Home, Camping & Guests, I-Beam, Colchon Inflable"
"B0GHYPLNDJ","Hotsales",19.99,5000,4.4,443,1,186,104,57,55,420,"Heating, Cooling & Air Quality","Hotsales Clip-On Portable Fan for Strollers, Handheld Turbo Fan for Travel Small But Mighty Mini Fan, Detachable 360° Rotating Clip, LED Display, Rechargeable, Summer Outings, Gifts For Women And Men"
"B0GJ4NHH4L","Ilake",49.98,4000,4.5,120,5,989,331,129,71,601,"Irons & Steamers","Steamer for Clothes, 1000W Portable Garment Steamer Travel Size, 100-240V Dual Voltage, 120ml Tank Handheld Steam & Iron 2 in 1, for Home, Business, Global & Europe Traveling"
"B0GJYJFJQR","BNBZ",26.97,8000,4.5,57,2,372,223,157,61,487,"Heating, Cooling & Air Quality","BNBZ Portable Neck Fan, 6000mAh Rechargeable Fan Blows Cold Air with LED Display, 4 Speeds, 20H Runtime, Quiet Wearable 360° Personal Cooling Fan for Outdoor Travel Work Gym Gift for Women Men-Black"
"B0GKMVTD6V","iFunSky",24.99,10000,4.6000000000000005,481,1,150,114,65,42,420,"Heating, Cooling & Air Quality","iFunSky Mini Portable Handheld Turbo Fan – Small but Mighty, Whisper-Quiet, Long-Lasting, 5-Speed High-Velocity Rechargeable battery Fan, Personal Fan for Outdoor, Travel, Gifts for Women & Men(Black)"
"B0GL1XQGNK","SSWind",29.99,7000,4.4,431,1,308,184,66,66,446,"Heating, Cooling & Air Quality","SSWind 6000mAh Portable Handheld Fan with Ice Cooling, 199 Levels Stepless Speed, 20H Long Battery Life, 20000RPM Turbo Fan Rechargeable Personal Mini Fan for Travel, Outdoor, Makeup (White)"
"B0GL2BF254","SSWind",29.99,3000,4.4,431,1,308,186,67,66,446,"Heating, Cooling & Air Quality","SSWind 6000mAh Portable Handheld Fan with Ice Cooling, 199 Levels Stepless Speed, 20H Long Battery Life, 20000RPM Turbo Fan Rechargeable Personal Mini Fan for Travel, Outdoor, Makeup (Black)"
"B0GL357H51","Luxturiy",68.99,4000,4.5,202,1,5928,449,343,168,1088,"Home Décor Products","8x10 Area Rugs for Living Room: Vintage Boho Neutral Washable Rug Indoor Soft Large Area Rug Carpet for Bedroom Nursery Farmhouse Dining Room Office Floor Non-Slip Low Pile Under Table Rug Beige"
"B0GLX92FFH","N-GEN GAMING",88.86,8000,4.5,3745,2,20099,840,580,245,4018,"Furniture","N-GEN GAMING Video Gaming Chair with Footrest Lumbar Support for Home Office High Back Recliner Height Adjustable Ergonomic Comfy Leather Computer Desk Chair (Carbon Black)"
"B0GPS742LV","IRIS USA",44.18,5000,4.4,26142,2,6078,508,508,381,2473,"Storage & Organization","IRIS USA 32 Qt High-Capacity Clip Box 6-Pack, Craft Storage Bins with Latching Lids, Art & Writing Supply Containers for Home, Office & Classroom Organization"
"B0GPXNJHD6","Aynvixt",26.99,5000,4.4,146,3,771,250,212,99,642,"Heating, Cooling & Air Quality","Aynvixt Portable Rechargeable Fan, 20000mAh Battery Powered Camping Fan with LED Light & Hook, 270° Adjustable, 4-Speed, 4H Timer Camping Essentials for Outdoor Tent Travel BBQ Car, Gifts for Men Dad"
"B0GPYTXVGD","HydroJug",39.99,5000,4.6000000000000005,18736,6,798,290,138,137,645,"Kitchen & Dining","HydroJug Traveler 40oz, Insulated Tumbler with Handle & Straw, Marigold"
"B0GPZPSG9Z","HydroJug",38.24,10000,4.6000000000000005,18736,5,798,294,138,137,618,"Kitchen & Dining","HydroJug Traveler 40oz, Insulated Tumbler with Handle & Straw, Primrose"
"B0GPZQYZTJ","HydroJug",33.99,7000,4.6000000000000005,36,6,798,294,137,136,618,"Kitchen & Dining","HydroJug Traveler 40oz, Insulated Tumbler with Handle & Straw, Olive"
"B0GQ31LD4R","OLIXIS",51.09,7000,4.4,642,1,3143,515,198,198,1264,"Bedding","OLIXIS 3 Inch Twin XL Size Gel Infused Memory Foam Mattress Topper, Soft Breathable Cooling Bed Pad, a Comfortable Bed Mattress Overlay for Bedroom, RV, Camper and Sleeper Sofa, CertiPUR-US Certified"
"B0GQHGFFHC","Likzest",69.99,6000,4.4,586,4,1819,264,237,153,767,"Vacuums & Floor Care","Handheld Steam Cleaner, 230°F Pressurized Steamer with No Water Spitting & Continuous Steam, 350ML Chemical-Free Deep Cleaning for Grease & Grime, 12 Accessories for Grout, Bathroom, Kitchen & Car"
