"asin","brand","price","monthly_sold","rating","reviews","offers","weight_g","len_mm","wid_mm","hei_mm","fba_us_cents","cat2","title"
"B0GZZ3VM69","HAMITOR",35.99,6000,4.5,125,2,2939,454,255,133,823,"Bath","HAMITOR Shower Caddy Tension Pole: 4-Tier Corner Rustproof Bathroom Organizer with Soap Holder & Hooks - No-Drill Adjustable Shower Shelf for Renters - Family Stand Storage Rack - 47-123 Inch Black"
"B0H13ZY2W4","ToLife",59.99,4000,4.2,5678,4,2722,394,240,168,881,"Heating, Cooling & Air Quality","ToLife Dehumidifier for Home, 1000 sq.ft Dehumidifiers for Basement Bedroom Bathroom with 95 OZ Water Tank, Auto Shut Off 7 Colors LED Light, White Black"
"B0H3T9MSFL","uwant",69.97,5000,4.6000000000000005,151,1,4570,430,344,201,1088,"Vacuums & Floor Care","Uwant Upholstery Cleaner Machine with 18Kpa Suction Portable Carpet Cleaner Machine for Cars, Pets with Pet Pro Solution and Self Cleaning Tools Set of 1 for Spot, Rug, Couch"
"B0FXB1BH4V","Brick Attic",129.99,500,4.2,179,1,16601,587,571,292,2813,"Office Furniture & Lighting","Drafting Chair, Tall Office Chair for Standing Desk, High Executive Leather Ergonomic Computer Chair with Adjustable Height and Flip-Up Armrest for Counter Height Desk, Black, Pack of 1"
"B0FZRGB6BN","HeroSet",179.99,600,4.5,46,1,15581,533,521,292,2536,"Furniture","HeroSet Leather Office Chair with Removable Armrests, Mid Back Ergonomic Desk Chair with Lumbar Support, Adjustable Height Rocking Swivel Executive Chair for Home Office, Brown"
"B0G13ZG8HK","FIDOM",109.99,600,4.8,72,2,12701,533,495,254,2269,"Furniture","Ergonomic Armless Office Desk Chair - Mid-Century Modern Black Faux Leather with Diamond Stitch, Adjustable Height Swivel Rolling Task Computer Chair with Walnut Accent for Home Office, Study & Work"
"B0G1SX2D8H","Blvornl",55.99,400,4.5,149,1,4082,1206,63,63,1433,"Office Furniture & Lighting","Blvornl Ultra Large Office Chair Mat for Hardwood Floor, Rolling Chair Mat for Hard Wood, Large Anti-Slip Hard Floor Protector, Heavy Duty Computer Desk Rug for Office and Home 47.2""*60"" Black"
"B0G4C4GPKB","HeroSet",99.99,400,4.6000000000000005,126,1,14651,591,527,285,2654,"Furniture","Leather Office Chair, Upgraded PU Computer Desk Chairs with Double-Layer Seat Cushion and Neckrest, 360°Swivel, Ergonomic Small Gaming Chair with Wheels and Adjustable Armrests for Short People, Black"
"B0G4L6KW29","FelixKing",229.99,400,4.2,852,1,29415,927,650,317,6321,"Furniture","FelixKing Big and Tall Office Chair, 400LBS Wide Leather Executive Chair, Reversible Armrest for Pets Criss Cross Legged, 135° Reclining High Back Gaming Desk Chair with Lumbar Support Footrest, Black"
"B0G6JSJ4D5","USUIE",58.99,500,4.2,131,1,998,273,199,183,809,"Bedding","USUIE 3-in-1 Rechargeable Electric Lumbar Support Pillow with Heat & Massage & Traction, Ergonomic Lower Back Massager for Pain Relief Deep Tissue, Ideal for Car/Bed/Sleeping/Office Chair/Travel"
