
===== SHEET: Table (?x?) =====
URL | Image URL | ASIN | Title | Brand | Fulfillment | Category | BSR | UPC | GTIN | EAN | ISBN | Subcategory | Subcategory BSR | Price | Price Trend (90 days) (%) | Parent Level Sales | ASIN Sales | Sales Trend (90 days) (%) | Parent Level Revenue | ASIN Revenue | Review Count | Reviews Rating | Seller | Seller Country/Region | Number of Active Sellers | Last Year Sales | Sales Year Over Year (%) | Shipping Details | Length | Width | Height | Weight | Storage Fee (Jan - Sep) | Storage Fee (Oct - Dec) | Best Sales Period | Listing Age (Months) | Number of Images | Variation Count | Sales to Reviews
https://amazon.de/dp/B08SGBS7RQ | https://m.media-amazon.com/images/I/51kW4Xl5KyL._SX450_.jpg | B08SGBS7RQ | Vitafit 15kg Küchenwaage, Genauigkeit 1g durch Unser Professionelle Waagenfabrik | Vitafit | FBA | Küche, Haushalt & Wohnen | 184 | N/A | N/A | N/A | N/A | Digitale Küchenwaagen | 1 | 10.99 | -15 | 8190 | 8066 | -52 | 83678.25 | 82068.82 | 9869 | 4.6 | Vitafit | China | 1 | 100109 | 84 | Large Envelope | 1.34 | 7.68 | 8.9 | 1.26 | N/A | N/A | 04/01/2026 | 65 | 9 | 2 | 0.83
https://amazon.de/dp/B08WL7WJZ7 | https://m.media-amazon.com/images/I/71-mYe0p3RL._SX450_.jpg | B08WL7WJZ7 | Home Fashion Küchenwaage Digital, Edelstahl Lebensmittelwaage mit 5 kg/11 lb Tra | HomeFashion | FBA | Küche, Haushalt & Wohnen | 675 | N/A | N/A | 9358199000105 | N/A | Digitale Küchenwaagen | 3 | 7.99 | -15 | 7797 | 7797 | -12 | 60579.12 | 60579.11 | 10050 | 4.5 | Zenith Electronic | Hong Kong | 1 | 0 | N/A | Standard Envelope | 0.94 | 5.67 | 7.24 | 0.6 | N/A | N/A | 03/01/2026 | 56 | 8 | 3 | 0.78
https://amazon.de/dp/B074M9DZ4N | https://m.media-amazon.com/images/I/61afIe6cIpL._SX450_.jpg | B074M9DZ4N | Philips AquaClean Filter, Kalkschutz, natürliche Kalkentfernung, verbesserter Ka | PHILIPS | Amazon | Küche, Haushalt & Wohnen | 289 | N/A | 08720389000317 | 8720389000508 | N/A | Kaffeemaschinenzubehör | 7 | 9.56 | -26 | 7097 | 7097 | 25 | 68458.72 | 68458.72 | 23749 | 4.7 | Amazon | N/A | 73 | 179162 | -32 | Small Parcel | 2.44 | 3.78 | 5.63 | 0.4 | N/A | N/A | 07/01/2025 | 106 | 8 | 1 | 0.3
https://amazon.de/dp/B017XYB27K | https://m.media-amazon.com/images/I/61vFojsBEOL._SX450_.jpg | B017XYB27K | EMSA Clip & Close Frischhaltedose, Eiswürfelform, 22,6 x 16,5 x 4,9 cm, flexible | Emsa | Amazon | Küche, Haushalt & Wohnen | 34 | N/A | N/A | 4009049378824 | N/A | Eiswürfelformen & -schalen | 2 | 12.1 | -2 | 23127 | 6945 | 83 | 200509.87 | 55514.46 | 36759 | 4.6 | Amazon | N/A | 16 | 0 | N/A | Extra Large Envelope | 1.89 | 6.46 | 8.78 | 0.63 | N/A | N/A | 05/01/2026 | 127 | 11 | 53 | 0.63
https://amazon.de/dp/B09T3718X4 | https://m.media-amazon.com/images/I/71jCYr6JSnL._SX450_.jpg | B09T3718X4 | Siemens Entkalkungstabletten, 9 Stück, passend für alle Kaffeevollautomaten der  | Siemens | Amazon | Küche, Haushalt & Wohnen | 53 | N/A | 04242003920107 | 4242003920107 | N/A | Entkalker | 2 | 26.99 | -1 | 21216 | 6813 | -27 | 342237.49 | 190995.45 | 23994 | 4.8 | Amazon | N/A | 27 | 350713 | 43 | Standard Envelope | 0.87 | 7.4 | 9.92 | 0.95 | N/A | N/A | 12/01/2025 | 52 | 7 | 3 | 0.88
https://amazon.de/dp/B0BV6TJG7J | https://m.media-amazon.com/images/I/71keDO0Gy3L._SX450_.jpg | B0BV6TJG7J | 100 Stück Backpapier für Heißluftfritteuse 4,5L-8L, Stone TH 20-24cm Airfryer Ba | Stone TH | FBA | Küche, Haushalt & Wohnen | 198 | N/A | N/A | N/A | N/A | Backpapier | 1 | 9.99 | 8 | 19014 | 6457 | -28 | 241795.21 | 62651.55 | 14117 | 4.6 | MooMeyo | China | 1 | 301919 | 58 | Small Parcel | 2.52 | 9.53 | 9.92 | 0.73 | N/A | N/A | 02/01/2026 | 40 | 7 | 12 | 1.35
https://amazon.de/dp/B0G1TKXGBV | https://m.media-amazon.com/images/I/71MpPDWWn3L._SX450_.jpg | B0G1TKXGBV | BETA NOBLE〖Verstärkte〗Ölsprüher zum Kochen, Öl Sprühflasche, Ölspray zum Kochen, | BETA NOBLE | FBA | Küche, Haushalt & Wohnen | 336 | 740885336862 | N/A | 0740885336862 | N/A | Flaschen | 2 | 9.99 | 4 | 8393 | 6377 |  | 85745.42 | 57293.09 | 845 | 4.4 | BETA NOBLE | China | 1 | 0 | N/A | Extra Large Envelope | 1.93 | 1.97 | 8.27 | 0.42 | N/A | N/A | 05/01/2026 | 7 | 6 | 5 | 9.93
https://amazon.de/dp/B076F3C4XP | https://m.media-amazon.com/images/I/41skA+hnOdL._SX450_.jpg | B076F3C4XP | Bonsenkitchen Elektrische Milchaufschäumer, Handheld Milchschäumer Stab für Kaff | Bonsenkitchen | FBA | Küche, Haushalt & Wohnen | 578 | 742297916885 | 00742297916885 | 0742297916885 | N/A | Batteriebetriebene Milchaufschäumer | 3 | 7.99 | 7 | 6693 | 6339 | 50 | 45639.89 | 42535.94 | 54235 | 4.3 | Mrbon EU | USA | 1 | 0 | N/A | Extra Large Envelope | 1.93 | 2.17 | 11.14 | 0.33 | N/A | N/A | 01/01/2026 | 100 | 7 | 3 | 0.12
https://amazon.de/dp/B0F2DJV6SZ | https://m.media-amazon.com/images/I/71DIsOFG4XL._SX450_.jpg | B0F2DJV6SZ | SWEET VIEW Olivenölspender und Ölsprüher – 470 ml Glas, lichtdichter Ölausgießer | SWEET VIEW | FBA | Küche, Haushalt & Wohnen | 112 | N/A | N/A | N/A | N/A | Ölsprüher | 1 | 10.99 | -12 | 10731 | 5779 | -61 | 127305.02 | 58059.1 | 11175 | 4.4 | SWEET VIEW - EU | China | 1 | 0 | N/A | Small Parcel | 3.54 | 3.54 | 7.36 | 0.66 | N/A | N/A | 03/01/2026 | 14 | 8 | 10 | 0.96
https://amazon.de/dp/B0BW3NTPWN | https://m.media-amazon.com/images/I/71X8Prqo84L._SX450_.jpg | B0BW3NTPWN | 120 Stück Backpapier für Heißluftfritteuse Ninja Dual, Stone TH Airfryer mit Dop | Stone TH | FBA | Küche, Haushalt & Wohnen | 199 | N/A | 06221243007951 | 6221243007951 | N/A | Backpapier | 1 | 9.99 | 29 | 19014 | 5065 | -28 | 241795.21 | 48965.08 | 14139 | 4.6 | MooMeyo | China | 1 | 301919 | 58 | Small Parcel | 2.52 | 8.86 | 10.16 | 0.77 | N/A | N/A | 02/01/2026 | 37 | 7 | 12 | 1.34
https://amazon.de/dp/B099382N4H | https://m.media-amazon.com/images/I/61pu8TrUyRL._SX450_.jpg | B099382N4H | JURA original - Mini-Tabs zur Milchsystem-Reinigung für 60 Reinigungen - TÜV-zer | JURA | FBM | Küche, Haushalt & Wohnen | 1933 | N/A | N/A | 7610917242122 | N/A | Reiniger für Milchaufschäumer | 2 | 18.98 | -4 | 4848 | 4848 | -40 | 98498.69 | 98498.69 | 1472 | 4.8 | Coffeefair  Kaffeegroßhandel Kaffeeservice | Germany | 26 | 83849 | 50 | Extra Large Envelope | 2.01 | 2.05 | 5.51 | 0.51 | N/A | N/A | 02/01/2026 | 55 | 5 | 1 | 3.29
https://amazon.de/dp/B00J5MOOXI | https://m.media-amazon.com/images/I/61Hcbnh46PL._SX450_.jpg | B00J5MOOXI | WMF Touch Küchenschere 21 cm, Haushaltsschere mit Sägeschliff, Schere Küche, Cro | WMF | Amazon | Küche, Haushalt & Wohnen | 185 | N/A | 04000530677617 | 4000530677617 | N/A | Küchenscheren | 1 | 6.69 | -42 | 7528 | 4832 |  | 61464.19 | 33271.9 | 15935 | 4.7 | Amazon | N/A | 14 | 0 | N/A | Standard Envelope | 0.71 | 3.94 | 11.5 | 0.29 | N/A | N/A | 05/01/2026 | 147 | 12 | 4 | 0.47
https://amazon.de/dp/B0BFVRQVFP | https://m.media-amazon.com/images/I/71Z8r17kjwL._SX450_.jpg | B0BFVRQVFP | 200 Stück Kabelbinder Schwarz Set,100/150/200/300 mm(je 50 Stück),Highwings Nylo | Highwings | FBA | Baumarkt | 44 | N/A | N/A | N/A | N/A | Kabelbinder | 1 | 5.73 | -17 | 8717 | 4802 | 16 | 78918.95 | 31120.27 | 3616 | 4.4 | Szsea EU | China | 1 | 92027 | 25 | Standard Envelope | 0.91 | 7.28 | 12.48 | 0.4 | N/A | N/A | 05/01/2026 | 45 | 7 | 19 | 2.42
https://amazon.de/dp/B07TTS7T3R | https://m.media-amazon.com/images/I/41KgH4GXVLL._SX450_.jpg | B07TTS7T3R | PERLESMITH TV Wandhalterung, für 37-85 Zoll Fernseher bis zu 60 kg, Schwenkbar N | PERLESMITH | FBA | Elektronik & Foto | 255 | N/A | N/A | 6914710936334 | N/A | Wand- & Deckenhalterungen | 3 | 33.99 | -8 | 4778 | 4778 | -8 | 154375.92 | 154375.9 | 34232 | 4.6 | BSQ Technology EU | Germany | 1 | 59006 | 108 | Standard Parcel | 3.46 | 8.31 | 17.48 | 10.85 | N/A | N/A | 11/01/2025 | 83 | 8 | 0 | 0.14
... (? more rows)
